motion_coherence,prior_std,reference,bin_left_deg,bin_right_deg,bin_center_deg,count,proportion
0.12,10.0,stimulus,-180.0,-165.0,-172.5,5,0.0008934953538241601
0.12,10.0,stimulus,-165.0,-150.0,-157.5,13,0.002323087919942816
0.12,10.0,stimulus,-150.0,-135.0,-142.5,6,0.001072194424588992
0.12,10.0,stimulus,-135.0,-120.0,-127.5,15,0.0026804860614724805
0.12,10.0,stimulus,-120.0,-105.0,-112.5,9,0.0016082916368834882
0.12,10.0,stimulus,-105.0,-90.0,-97.5,17,0.0030378842030021444
0.12,10.0,stimulus,-90.0,-75.0,-82.5,29,0.0051822730521801285
0.12,10.0,stimulus,-75.0,-60.0,-67.5,22,0.003931379556826304
0.12,10.0,stimulus,-60.0,-45.0,-52.5,67,0.011972837741243745
0.12,10.0,stimulus,-45.0,-30.0,-37.5,173,0.03091493924231594
0.12,10.0,stimulus,-30.0,-15.0,-22.5,688,0.12294496068620443
0.12,10.0,stimulus,-15.0,0.0,-7.5,1680,0.3002144388849178
0.12,10.0,stimulus,0.0,15.0,7.5,1755,0.3136168691922802
0.12,10.0,stimulus,15.0,30.0,22.5,751,0.13420300214438885
0.12,10.0,stimulus,30.0,45.0,37.5,232,0.04145818441744103
0.12,10.0,stimulus,45.0,60.0,52.5,66,0.011794138670478913
0.12,10.0,stimulus,60.0,75.0,67.5,22,0.003931379556826304
0.12,10.0,stimulus,75.0,90.0,82.5,10,0.0017869907076483202
0.12,10.0,stimulus,90.0,105.0,97.5,6,0.001072194424588992
0.12,10.0,stimulus,105.0,120.0,112.5,3,0.000536097212294496
0.12,10.0,stimulus,120.0,135.0,127.5,2,0.00035739814152966406
0.12,10.0,stimulus,135.0,150.0,142.5,8,0.0014295925661186562
0.12,10.0,stimulus,150.0,165.0,157.5,9,0.0016082916368834882
0.12,10.0,stimulus,165.0,180.0,172.5,8,0.0014295925661186562
0.12,10.0,prior,-180.0,-165.0,-172.5,8,0.0014295925661186562
0.12,10.0,prior,-165.0,-150.0,-157.5,12,0.002144388849177984
0.12,10.0,prior,-150.0,-135.0,-142.5,7,0.0012508934953538242
0.12,10.0,prior,-135.0,-120.0,-127.5,13,0.002323087919942816
0.12,10.0,prior,-120.0,-105.0,-112.5,8,0.0014295925661186562
0.12,10.0,prior,-105.0,-90.0,-97.5,22,0.003931379556826304
0.12,10.0,prior,-90.0,-75.0,-82.5,25,0.004467476769120801
0.12,10.0,prior,-75.0,-60.0,-67.5,32,0.005718370264474625
0.12,10.0,prior,-60.0,-45.0,-52.5,48,0.008577555396711936
0.12,10.0,prior,-45.0,-30.0,-37.5,158,0.028234453180843458
0.12,10.0,prior,-30.0,-15.0,-22.5,514,0.09185132237312366
0.12,10.0,prior,-15.0,0.0,-7.5,1979,0.35364546104360256
0.12,10.0,prior,0.0,15.0,7.5,1797,0.32112223016440317
0.12,10.0,prior,15.0,30.0,22.5,619,0.11061472480343103
0.12,10.0,prior,30.0,45.0,37.5,219,0.03913509649749821
0.12,10.0,prior,45.0,60.0,52.5,65,0.011615439599714082
0.12,10.0,prior,60.0,75.0,67.5,23,0.004110078627591137
0.12,10.0,prior,75.0,90.0,82.5,14,0.0025017869907076485
0.12,10.0,prior,90.0,105.0,97.5,5,0.0008934953538241601
0.12,10.0,prior,105.0,120.0,112.5,3,0.000536097212294496
0.12,10.0,prior,120.0,135.0,127.5,3,0.000536097212294496
0.12,10.0,prior,135.0,150.0,142.5,7,0.0012508934953538242
0.12,10.0,prior,150.0,165.0,157.5,9,0.0016082916368834882
0.12,10.0,prior,165.0,180.0,172.5,6,0.001072194424588992
0.12,20.0,stimulus,-180.0,-165.0,-172.5,9,0.0015189873417721519
0.12,20.0,stimulus,-165.0,-150.0,-157.5,6,0.0010126582278481013
0.12,20.0,stimulus,-150.0,-135.0,-142.5,12,0.0020253164556962027
0.12,20.0,stimulus,-135.0,-120.0,-127.5,20,0.0033755274261603376
0.12,20.0,stimulus,-120.0,-105.0,-112.5,14,0.002362869198312236
0.12,20.0,stimulus,-105.0,-90.0,-97.5,18,0.0030379746835443038
0.12,20.0,stimulus,-90.0,-75.0,-82.5,14,0.002362869198312236
0.12,20.0,stimulus,-75.0,-60.0,-67.5,55,0.009282700421940928
0.12,20.0,stimulus,-60.0,-45.0,-52.5,122,0.020590717299578058
0.12,20.0,stimulus,-45.0,-30.0,-37.5,331,0.05586497890295359
0.12,20.0,stimulus,-30.0,-15.0,-22.5,761,0.12843881856540085
0.12,20.0,stimulus,-15.0,0.0,-7.5,1379,0.23274261603375526
0.12,20.0,stimulus,0.0,15.0,7.5,1480,0.249789029535865
0.12,20.0,stimulus,15.0,30.0,22.5,967,0.16320675105485233
0.12,20.0,stimulus,30.0,45.0,37.5,454,0.07662447257383967
0.12,20.0,stimulus,45.0,60.0,52.5,163,0.02751054852320675
0.12,20.0,stimulus,60.0,75.0,67.5,54,0.009113924050632912
0.12,20.0,stimulus,75.0,90.0,82.5,24,0.004050632911392405
0.12,20.0,stimulus,90.0,105.0,97.5,14,0.002362869198312236
0.12,20.0,stimulus,105.0,120.0,112.5,5,0.0008438818565400844
0.12,20.0,stimulus,120.0,135.0,127.5,3,0.0005063291139240507
0.12,20.0,stimulus,135.0,150.0,142.5,3,0.0005063291139240507
0.12,20.0,stimulus,150.0,165.0,157.5,8,0.001350210970464135
0.12,20.0,stimulus,165.0,180.0,172.5,9,0.0015189873417721519
0.12,20.0,prior,-180.0,-165.0,-172.5,6,0.0010126582278481013
0.12,20.0,prior,-165.0,-150.0,-157.5,12,0.0020253164556962027
0.12,20.0,prior,-150.0,-135.0,-142.5,13,0.0021940928270042194
0.12,20.0,prior,-135.0,-120.0,-127.5,13,0.0021940928270042194
0.12,20.0,prior,-120.0,-105.0,-112.5,17,0.002869198312236287
0.12,20.0,prior,-105.0,-90.0,-97.5,20,0.0033755274261603376
0.12,20.0,prior,-90.0,-75.0,-82.5,31,0.0052320675105485236
0.12,20.0,prior,-75.0,-60.0,-67.5,61,0.010295358649789029
0.12,20.0,prior,-60.0,-45.0,-52.5,112,0.01890295358649789
0.12,20.0,prior,-45.0,-30.0,-37.5,262,0.04421940928270042
0.12,20.0,prior,-30.0,-15.0,-22.5,654,0.11037974683544304
0.12,20.0,prior,-15.0,0.0,-7.5,1597,0.269535864978903
0.12,20.0,prior,0.0,15.0,7.5,1561,0.26345991561181437
0.12,20.0,prior,15.0,30.0,22.5,801,0.1351898734177215
0.12,20.0,prior,30.0,45.0,37.5,461,0.07780590717299578
0.12,20.0,prior,45.0,60.0,52.5,184,0.031054852320675105
0.12,20.0,prior,60.0,75.0,67.5,51,0.008607594936708861
0.12,20.0,prior,75.0,90.0,82.5,24,0.004050632911392405
0.12,20.0,prior,90.0,105.0,97.5,12,0.0020253164556962027
0.12,20.0,prior,105.0,120.0,112.5,8,0.001350210970464135
0.12,20.0,prior,120.0,135.0,127.5,5,0.0008438818565400844
0.12,20.0,prior,135.0,150.0,142.5,4,0.0006751054852320675
0.12,20.0,prior,150.0,165.0,157.5,9,0.0015189873417721519
0.12,20.0,prior,165.0,180.0,172.5,7,0.001181434599156118
0.12,40.0,stimulus,-180.0,-165.0,-172.5,13,0.0022402205755643633
0.12,40.0,stimulus,-165.0,-150.0,-157.5,13,0.0022402205755643633
0.12,40.0,stimulus,-150.0,-135.0,-142.5,13,0.0022402205755643633
0.12,40.0,stimulus,-135.0,-120.0,-127.5,26,0.004480441151128727
0.12,40.0,stimulus,-120.0,-105.0,-112.5,24,0.004135791831811132
0.12,40.0,stimulus,-105.0,-90.0,-97.5,49,0.008443908323281062
0.12,40.0,stimulus,-90.0,-75.0,-82.5,63,0.010856453558504222
0.12,40.0,stimulus,-75.0,-60.0,-67.5,124,0.02136825779769085
0.12,40.0,stimulus,-60.0,-45.0,-52.5,226,0.03894537308288816
0.12,40.0,stimulus,-45.0,-30.0,-37.5,393,0.0677235912459073
0.12,40.0,stimulus,-30.0,-15.0,-22.5,753,0.12976046872307428
0.12,40.0,stimulus,-15.0,0.0,-7.5,1157,0.19937963122522834
0.12,40.0,stimulus,0.0,15.0,7.5,1164,0.20058590384283992
0.12,40.0,stimulus,15.0,30.0,22.5,820,0.1413062209202137
0.12,40.0,stimulus,30.0,45.0,37.5,443,0.07633982422884715
0.12,40.0,stimulus,45.0,60.0,52.5,221,0.038083749784594174
0.12,40.0,stimulus,60.0,75.0,67.5,123,0.02119593313803205
0.12,40.0,stimulus,75.0,90.0,82.5,58,0.009994830260210237
0.12,40.0,stimulus,90.0,105.0,97.5,43,0.007409960365328278
0.12,40.0,stimulus,105.0,120.0,112.5,25,0.00430811649146993
0.12,40.0,stimulus,120.0,135.0,127.5,15,0.0025848698948819577
0.12,40.0,stimulus,135.0,150.0,142.5,12,0.002067895915905566
0.12,40.0,stimulus,150.0,165.0,157.5,11,0.001895571256246769
0.12,40.0,stimulus,165.0,180.0,172.5,14,0.0024125452352231603
0.12,40.0,prior,-180.0,-165.0,-172.5,9,0.0015509219369291745
0.12,40.0,prior,-165.0,-150.0,-157.5,7,0.0012062726176115801
0.12,40.0,prior,-150.0,-135.0,-142.5,17,0.002929519214199552
0.12,40.0,prior,-135.0,-120.0,-127.5,17,0.002929519214199552
0.12,40.0,prior,-120.0,-105.0,-112.5,47,0.008099259003963468
0.12,40.0,prior,-105.0,-90.0,-97.5,115,0.019817335860761676
0.12,40.0,prior,-90.0,-75.0,-82.5,169,0.029122867482336723
0.12,40.0,prior,-75.0,-60.0,-67.5,218,0.037566775805617784
0.12,40.0,prior,-60.0,-45.0,-52.5,253,0.043598138893675684
0.12,40.0,prior,-45.0,-30.0,-37.5,371,0.06393244873341375
0.12,40.0,prior,-30.0,-15.0,-22.5,588,0.10132689987937274
0.12,40.0,prior,-15.0,0.0,-7.5,1075,0.18524900913320697
0.12,40.0,prior,0.0,15.0,7.5,950,0.1637084266758573
0.12,40.0,prior,15.0,30.0,22.5,586,0.10098225056005515
0.12,40.0,prior,30.0,45.0,37.5,513,0.08840255040496295
0.12,40.0,prior,45.0,60.0,52.5,341,0.058762708943649836
