model,motion_coherence,prior_std,reference,bin_left_deg,bin_right_deg,bin_center_deg,observed,simulated_mean,simulated_ci_low,simulated_ci_high,n_simulations
HMM_static,0.0599999999999999,40,prior,15,30,22.5,0.1009815785935188,0.1148462903147876,0.1075028923781728,0.1223529713744376,100
HMM_static,0.0599999999999999,40,prior,30,45,37.5,0.0763748823450316,0.0734698716300232,0.0677945281255546,0.081262673806792,100
HMM_static,0.0599999999999999,40,prior,45,60,52.5,0.0607771951055533,0.0478292086522372,0.0431386107904997,0.0526181597310506,100
HMM_static,0.0599999999999999,40,prior,60,75,67.5,0.0399354578459056,0.033342843982049,0.0295220783478041,0.0379502970912356,100
HMM_static,0.0599999999999999,40,prior,75,90,82.5,0.0295818206265967,0.0244585448304307,0.0209861635211468,0.0291252933197228,100
HMM_static,0.0599999999999999,40,prior,90,105,97.5,0.0122361167137286,0.0172019501124375,0.0141304267073914,0.0204035364145344,100
HMM_static,0.0599999999999999,40,prior,105,120,112.5,0.0069920666935592,0.0125935919546928,0.010166251665148,0.0151022547971699,100
HMM_static,0.0599999999999999,40,prior,120,135,127.5,0.0029581820626595,0.0086833682509113,0.0066513613089917,0.0108225766223625,100
HMM_static,0.0599999999999999,40,prior,135,150,142.5,0.0036304961678096,0.0061106922357871,0.0044706854145245,0.0078348688072979,100
HMM_static,0.0599999999999999,40,prior,150,165,157.5,0.0034960333467796,0.0048119356637364,0.0032337285117296,0.006496413205732,100
HMM_static,0.0599999999999999,40,prior,165,180,172.5,0.0033615705257496,0.0041555350995794,0.0030808636248005,0.005667004124498,100
HMM_static,0.0599999999999999,40,stimulus,-180,-165,-172.5,0.0026892564205997,0.0027368874358303,0.0017503468298998,0.0040277789166746,100
HMM_static,0.0599999999999999,40,stimulus,-165,-150,-157.5,0.0037649589888395,0.0031819542782825,0.0020171853333319,0.0045310211987603,100
HMM_static,0.0599999999999999,40,stimulus,-150,-135,-142.5,0.0045717359150194,0.0039108900448834,0.0027443775118584,0.0051535024296429,100
HMM_static,0.0599999999999999,40,stimulus,-135,-120,-127.5,0.0043028102729595,0.0059144891913528,0.0043570719432193,0.0077206401694178,100
HMM_static,0.0599999999999999,40,stimulus,-120,-105,-112.5,0.0108914885034288,0.0093607723763084,0.0072273442565367,0.011210159151568,100
HMM_static,0.0599999999999999,40,stimulus,-105,-90,-97.5,0.0100847115772488,0.0157372829996958,0.0130016688152776,0.0185334453966989,100
HMM_static,0.0599999999999999,40,stimulus,-90,-75,-82.5,0.0217829770068576,0.0266968758760419,0.0233106778321423,0.0303617466119157,100
HMM_static,0.0599999999999999,40,stimulus,-75,-60,-67.5,0.0294473578055667,0.0429946439134721,0.0376702309843014,0.0478975972529602,100
HMM_static,0.0599999999999999,40,stimulus,-60,-45,-52.5,0.0517681860965443,0.0646306929245402,0.0597139925685655,0.0692443359799549,100
HMM_static,0.0599999999999999,40,stimulus,-45,-30,-37.5,0.0845771144278607,0.0889828714641618,0.0836904388346452,0.0942667760166606,100
HMM_static,0.0599999999999999,40,stimulus,-30,-15,-22.5,0.1184617453274169,0.1111327603044177,0.1039876548493835,0.1185993560021759,100
HMM_static,0.0599999999999999,40,stimulus,-15,0,-7.5,0.1378243915557348,0.1248759798693612,0.1187338073824809,0.132733329535961,100
HMM_static,0.0599999999999999,40,stimulus,0,15,7.5,0.1429339787548742,0.1242450154995977,0.1183560659165219,0.1297588445891587,100
HMM_static,0.0599999999999999,40,stimulus,15,30,22.5,0.1167137286540271,0.111175672648494,0.1050818647130541,0.118370730816277,100
HMM_static,0.0599999999999999,40,stimulus,30,45,37.5,0.0957375285733493,0.0893338977812132,0.0836593164780342,0.0975983101232514,100
HMM_static,0.0599999999999999,40,stimulus,45,60,52.5,0.0587602527901035,0.0649067756841688,0.0596470616667238,0.0706124328026069,100
HMM_static,0.0599999999999999,40,stimulus,60,75,67.5,0.0418179373403253,0.0432876075348841,0.0381267529204519,0.047477491341513,100
HMM_static,0.0599999999999999,40,stimulus,75,90,82.5,0.0217829770068576,0.026214806351808,0.0219197016361479,0.0293937182281203,100
HMM_static,0.0599999999999999,40,stimulus,90,105,97.5,0.017883555196988,0.0158344408613441,0.0134876052364166,0.018921902190969,100
HMM_static,0.0599999999999999,40,stimulus,105,120,112.5,0.0094123974720988,0.0092809759637848,0.0074255413054052,0.0112883680042064,100
HMM_static,0.0599999999999999,40,stimulus,120,135,127.5,0.0060508269463492,0.0058166831625796,0.0042729514137575,0.0075230037717168,100
HMM_static,0.0599999999999999,40,stimulus,135,150,142.5,0.0028237192416296,0.0039514410406871,0.002197533813204,0.0055034362472296,100
HMM_static,0.0599999999999999,40,stimulus,150,165,157.5,0.0026892564205997,0.0031337143663742,0.0018133813477335,0.0043733252634672,100
HMM_static,0.0599999999999999,40,stimulus,165,180,172.5,0.0032271077047195,0.002662868426713,0.0015325124067221,0.0036950361603377,100
