stage,fold,subject_id,model,seed,train_ll,delta_from_best,converged,n_iter,selected,message
cv,2.0,,Serial_stim_independent_switching,3206,-56805.87825962385,0.0,True,35,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3207,-56805.87908150732,-0.0008218834700528,True,35,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3208,-56805.87914734323,-0.0008877193758962,True,37,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3209,-56805.87897891259,-0.0007192887351266,True,39,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3210,-56805.879940274535,-0.0016806506828288,True,26,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3211,-56805.87861043336,-0.0003508095105644,True,37,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3212,-56805.87844696622,-0.0001873423680081,True,39,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3213,-56805.879607900446,-0.0013482765934895,True,40,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3214,-56805.87892299986,-0.0006633760058321,True,34,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3200,-56796.868754968935,-0.0011673203844111,True,41,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3201,-56796.867810229975,-0.0002225814241683,True,38,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3202,-56796.869357291056,-0.0017696425056783,True,36,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3203,-56796.86803421179,-0.0004465632373467,True,40,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3204,-56796.86791817273,-0.0003305241771158,True,35,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3205,-56796.86841825645,-0.0008306079034809,True,33,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3206,-56796.86840321924,-0.0008155706891557,True,45,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3207,-56796.86929730223,-0.001709653675789,True,33,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3208,-56796.87089330916,-0.0033056606043828,True,41,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3209,-56796.86807864117,-0.000490992621053,True,26,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3210,-56796.86984162821,-0.0022539796627825,True,35,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3211,-56796.86758764855,0.0,True,35,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3212,-56796.86793250256,-0.0003448540082899,True,45,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3213,-56796.870500149074,-0.002912500523962,True,38,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_resp_independent_switching,3214,-56796.86847306167,-0.0008854131228872,True,36,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3200,-56794.68312858272,-0.0019804556504823,True,49,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3201,-56794.68186761782,-0.0007194907520897,True,48,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3202,-56794.68320279548,-0.0020546684099826,True,47,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3203,-56794.68620803622,-0.0050599091482581,True,46,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3204,-56794.68142539758,-0.000277270512015,True,34,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3205,-56794.6910047076,-0.009856580523774,True,39,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3206,-56794.68352983054,-0.0023817034671083,True,64,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3207,-56794.68347998477,-0.0023318577004829,True,52,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3208,-56794.68363859205,-0.0024904649762902,True,50,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_both_independent_switching,3209,-56794.68144659874,-0.0002984716702485,True,49,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
