model,motion_coherence,prior_std,condition,metric,observed,simulated_mean,simulated_ci_low,simulated_ci_high,observed_minus_simulated,n_simulations
HMM_static,0.059999999999999901,40,0.06/40,prior_like_rate,0.4976469006319752,0.46189640969798113,0.44424900179725801,0.4769375823961074,0.0357504909339941,100
HMM_static,0.059999999999999901,80,0.06/80,mean_abs_error_deg,49.462591146809878,52.772594419872974,51.824835916010692,53.529285341088254,-3.3100032730630962,100
HMM_static,0.059999999999999901,80,0.06/80,median_abs_error_deg,35.863648543892808,41.627476902427297,40.524377931078952,42.470683655756766,-5.7638283585344965,100
HMM_static,0.059999999999999901,80,0.06/80,mean_cos_error,0.54339568799997662,0.50581887299926775,0.49642650296856422,0.51836784957143056,0.037576815000708801,100
HMM_static,0.059999999999999901,80,0.06/80,circular_std_error_deg,63.247095685823631,66.893952825073811,65.680245122127516,67.808095416935501,-3.6468571392501801,100
HMM_static,0.059999999999999901,80,0.06/80,prior_like_rate,0.40310880829015538,0.44543797113177769,0.43134209004888502,0.45752487352579851,-0.042329162841622303,100
HMM_static,0.12,10,0.12/10,mean_abs_error_deg,14.292706940043937,18.241542927935875,17.634752754310068,18.791326795024631,-3.9488359878919375,100
HMM_static,0.12,10,0.12/10,median_abs_error_deg,10.718524498570124,14.464738096195202,13.804288347790711,15.13381235008765,-3.746213597625077,100
HMM_static,0.12,10,0.12/10,mean_cos_error,0.94694689061420156,0.91863967327603557,0.91419510418872885,0.9234622099610218,0.028307217338166199,100
HMM_static,0.12,10,0.12/10,circular_std_error_deg,18.893355319663595,23.599589168026338,22.86436746826832,24.268243042381304,-4.7062338483627428,100
HMM_static,0.12,10,0.12/10,prior_like_rate,0.34654377880184328,0.31068680145776151,0.29869749879710022,0.32424968147984928,0.035856977344081803,100
HMM_static,0.12,20,0.12/20,mean_abs_error_deg,18.926730735839289,21.527168063768549,21.15610572707881,21.918282013125754,-2.6004373279292641,100
HMM_static,0.12,20,0.12/20,median_abs_error_deg,15.12796994329342,18.03328997503252,17.588468080849289,18.4506363060807,-2.9053200317390999,100
HMM_static,0.12,20,0.12/20,mean_cos_error,0.91454381873210777,0.89431829107361605,0.89079299063356132,0.8976907862743333,0.020225527658491799,100
HMM_static,0.12,20,0.12/20,circular_std_error_deg,24.084089258768348,27.077136294949117,26.617568440817625,27.553442773061445,-2.9930470361807657,100
HMM_static,0.12,20,0.12/20,prior_like_rate,0.43216343635411197,0.40016377116742169,0.38540164018077422,0.4134120961158374,0.031999665186690299,100
HMM_static,0.12,40,0.12/40,mean_abs_error_deg,23.821574546038281,27.068272530673479,26.176005533581016,27.825468558020169,-3.2466979846352007,100
HMM_static,0.12,40,0.12/40,median_abs_error_deg,18.414363472673937,21.799321988439125,21.059083731274715,22.641777769896368,-3.384958515765188,100
HMM_static,0.12,40,0.12/40,mean_cos_error,0.86373395472995462,0.83334558398212655,0.82584626284645224,0.84212100913310284,0.030388370747827902,100
HMM_static,0.12,40,0.12/40,circular_std_error_deg,30.994654354320144,34.592550251149113,33.588224479163202,35.442892848588585,-3.5978958968289696,100
HMM_static,0.12,40,0.12/40,prior_like_rate,0.362326768781911,0.41733720610395281,0.3978979230040392,0.44264532716491728,-0.055010437322041798,100
HMM_static,0.12,80,0.12/80,mean_abs_error_deg,26.364492889645131,40.018810398939245,38.732454676368953,41.185845114588815,-13.654317509294115,100
HMM_static,0.12,80,0.12/80,median_abs_error_deg,18.458671054920679,26.507380182841167,25.540544691004914,27.339111510763036,-8.048709127920489,100
HMM_static,0.12,80,0.12/80,mean_cos_error,0.82713851728546528,0.65897443714836557,0.64409616878294573,0.67569737384341466,0.16816408013709969,100
HMM_static,0.12,80,0.12/80,circular_std_error_deg,35.299306997599757,52.32576942003611,50.730771982313357,53.733560802703536,-17.026462422436353,100
HMM_static,0.12,80,0.12/80,prior_like_rate,0.2410857845455405,0.38208068523697442,0.36541248470654553,0.39679225991341027,-0.14099490069143389,100
HMM_static,0.23999999999999991,10,0.24/10,mean_abs_error_deg,10.712995620939941,12.522674646884484,12.231961598743384,12.802649604989362,-1.8096790259445437,100
HMM_static,0.23999999999999991,10,0.24/10,median_abs_error_deg,8.6230171398463629,10.575150987198599,10.145742869987693,10.933315192590545,-1.952133847352238,100
HMM_static,0.23999999999999991,10,0.24/10,mean_cos_error,0.97056315913089675,0.96318766647529719,0.96134487105355237,0.96481947799860557,0.0073754926555994003,100
HMM_static,0.23999999999999991,10,0.24/10,circular_std_error_deg,13.961795328368485,15.68907937331554,15.33305192393119,16.087750531859641,-1.7272840449470568,100
HMM_static,0.23999999999999991,10,0.24/10,prior_like_rate,0.26719481454807342,0.28974445169425223,0.27464345104465648,0.30638437571985111,-0.022549637146178698,100
HMM_static,0.23999999999999991,20,0.24/20,mean_abs_error_deg,11.887166553891822,15.491595494420398,14.910107891978248,16.039222487061405,-3.6044289405285759,100
HMM_static,0.23999999999999991,20,0.24/20,median_abs_error_deg,9.4556924177531716,12.593243665454112,11.989454195229095,13.206214398104256,-3.1375512477009391,100
HMM_static,0.23999999999999991,20,0.24/20,mean_cos_error,0.96429789378873965,0.94182490052924861,0.93794603338719196,0.94639633039062077,0.022472993259490998,100
HMM_static,0.23999999999999991,20,0.24/20,circular_std_error_deg,15.432861831102532,19.830962868581775,19.016636101784652,20.508531816842524,-4.3981010374792469,100
