fold,model,seq_id,subject_id,session_id,run_id,prior_std,n_test,test_ll,test_ll_per_trial
1,Serial_resp_independent_switching,287,9.0,6.0,28.0,20.0,204,-84.34340093220916,-0.41344804378533906
1,Serial_resp_independent_switching,292,9.0,7.0,33.0,80.0,226,-261.0916556025151,-1.1552728124005094
1,Serial_resp_independent_switching,294,9.0,7.0,35.0,40.0,202,-214.63981890499332,-1.0625733609158086
1,Serial_resp_independent_switching,296,9.0,8.0,37.0,10.0,221,-107.20689032287409,-0.48509905123472435
1,Serial_resp_independent_switching,300,10.0,1.0,1.0,80.0,226,-438.9195968013403,-1.9421221097404437
1,Serial_resp_independent_switching,303,10.0,1.0,4.0,20.0,204,-226.29606982411843,-1.1092944599221493
1,Serial_resp_independent_switching,305,10.0,2.0,6.0,40.0,202,-318.24008252326826,-1.5754459530854865
1,Serial_resp_independent_switching,316,10.0,4.0,18.0,80.0,226,-351.54326750491407,-1.5555011836500623
1,Serial_resp_independent_switching,323,10.0,6.0,25.0,10.0,221,-15.259133089456732,-0.06904585108351463
1,Serial_resp_independent_switching,325,10.0,6.0,27.0,80.0,226,-327.1937458149547,-1.4477599372343128
1,Serial_resp_independent_switching,327,10.0,6.0,29.0,40.0,202,-163.51610684953022,-0.8094856774729219
1,Serial_resp_independent_switching,328,11.0,1.0,1.0,10.0,221,-55.7434558132469,-0.25223283173414884
1,Serial_resp_independent_switching,331,11.0,1.0,4.0,40.0,202,-387.2548905285577,-1.9171034184582065
1,Serial_resp_independent_switching,333,11.0,2.0,6.0,80.0,226,-291.1136201746882,-1.288113363604815
1,Serial_resp_independent_switching,339,11.0,3.0,12.0,40.0,202,-231.53771853197162,-1.146226329366196
1,Serial_resp_independent_switching,349,11.0,5.0,22.0,80.0,226,-270.7330953638374,-1.1979340502824662
1,Serial_resp_independent_switching,351,11.0,5.0,24.0,80.0,226,-251.6370341352265,-1.1134382041381703
1,Serial_resp_independent_switching,353,11.0,6.0,26.0,10.0,221,-42.31176388782096,-0.19145594519376
1,Serial_resp_independent_switching,354,11.0,6.0,27.0,20.0,204,-66.52923486412757,-0.32612370031435084
1,Serial_resp_independent_switching,359,12.0,1.0,2.0,10.0,221,-76.84094381832182,-0.34769657836344714
1,Serial_resp_independent_switching,360,12.0,1.0,3.0,80.0,226,-343.66156781424314,-1.520626406257713
1,Serial_resp_independent_switching,375,12.0,4.0,18.0,10.0,221,-100.12049198561587,-0.45303390038740216
1,Serial_resp_independent_switching,378,12.0,5.0,21.0,80.0,226,-336.45484085307805,-1.4887382338631772
1,Serial_resp_independent_switching,381,12.0,5.0,24.0,40.0,202,-186.74955739097663,-0.9245027593612705
1,Serial_resp_independent_switching,383,12.0,6.0,26.0,20.0,204,-117.22222441768342,-0.574618747145507
1,Serial_resp_independent_switching,384,12.0,6.0,27.0,80.0,226,-352.3114761091156,-1.5589003367659982
1,Serial_both_independent_switching,0,1.0,1.0,1.0,10.0,213,9.55801722908013,0.044873320324319864
1,Serial_both_independent_switching,1,1.0,1.0,2.0,80.0,215,-210.69262231548313,-0.9799656851882936
1,Serial_both_independent_switching,3,1.0,1.0,4.0,40.0,207,-115.87689352704376,-0.5597917561692936
1,Serial_both_independent_switching,9,1.0,2.0,10.0,80.0,215,-191.21462041150502,-0.8893703274953723
1,Serial_both_independent_switching,11,1.0,3.0,12.0,10.0,213,5.614358032288173,0.026358488414498466
1,Serial_both_independent_switching,19,1.0,4.0,20.0,80.0,215,-199.99602484345667,-0.9302140690393333
1,Serial_both_independent_switching,20,1.0,5.0,21.0,20.0,215,-62.72537662340899,-0.29174593778329766
1,Serial_both_independent_switching,25,1.0,6.0,26.0,40.0,202,-139.59197911027303,-0.6910494015360051
1,Serial_both_independent_switching,32,1.0,7.0,33.0,80.0,226,-216.07181944920683,-0.956069997562862
1,Serial_both_independent_switching,37,1.0,8.0,38.0,20.0,204,-55.307991886782716,-0.27111760728815054
1,Serial_both_independent_switching,40,2.0,1.0,1.0,10.0,213,-27.407469128037125,-0.12867356398139496
1,Serial_both_independent_switching,43,2.0,1.0,4.0,40.0,207,-165.24514954583879,-0.798285746598255
1,Serial_both_independent_switching,44,2.0,1.0,5.0,80.0,215,-289.72792981535713,-1.3475717665830564
1,Serial_both_independent_switching,49,2.0,2.0,10.0,80.0,215,-324.03114836728406,-1.5071216203129492
